YEAR,Assigned_CBSA,Assigned_CBSATitle,age_recode,sample_n,EMP,var_n,se_n,cv_n,se2_n,moe_n,sample_d,denom,var_d,se_d,cv_d,se2_d,moe_d,ER,MOE_ER
2006,14460,"Boston-Cambridge-Newton, MA-NH",20-24,1653,204272,22399964,4732.8600233,0.0231694017,22399964,7785.5547383,2510,311670,29139444.55,5398.0963821,0.0173199101,29139444.55,8879.8685485,0.6554111721,0.016592392
2006,14460,"Boston-Cambridge-Newton, MA-NH",25-54,15406,1648927,103063267.75,10152.008065,0.0061567359,103063267.75,16700.053267,18793,2015264,45492061,6744.7802781,0.003346847,45492061,11095.163557,0.8182188537,0.0069554245
2006,14860,"Bridgeport-Stamford-Norwalk, CT",16-19,166,17535,1617550.45,1271.829568,0.0725309135,1617550.45,2092.1596393,481,49291,2470541,1571.7954702,0.0318880824,2470541,2585.6035484,0.3557444564,0.0381228865
2006,14860,"Bridgeport-Stamford-Norwalk, CT",20-24,285,34888,4903967.75,2214.4904041,0.0634742721,4903967.75,3642.8367148,402,50345,4242360.65,2059.6991649,0.0409116926,4242360.65,3388.2051263,0.6929784487,0.055322406
2006,14860,"Bridgeport-Stamford-Norwalk, CT",25-54,2727,300110,21893104.6,4679.0067963,0.0155909726,21893104.6,7696.9661799,3464,380503,9724130.7,3118.3538446,0.0081953463,9724130.7,5129.6920743,0.7887191428,0.017208356
2006,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",16-19,246,27626,2607408.2,1614.7471009,0.0584502679,2607408.2,2656.258981,601,67095,3601784.8,1897.8368739,0.0282858167,3601784.8,3121.9416576,0.4117445413,0.0346450644
2006,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",20-24,442,58661,6139017.65,2477.7041086,0.0422376725,6139017.65,4075.8232587,621,84279,8369913.9,2893.080348,0.0343274167,8369913.9,4759.1171725,0.6960334128,0.0281777722
2006,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",25-54,3358,350144,19865957.7,4457.1243756,0.0127294038,19865957.7,7331.9695979,4315,457490,10447396.45,3232.2432535,0.007065167,10447396.45,5317.0401521,0.7653588057,0.0133313685
2006,15980,"Cape Coral-Fort Myers, FL",16-19,112,8560,656972.5,810.53840131,0.0946890656,656972.5,1333.3356702,263,24410,1769941.8,1330.3915965,0.0545019089,1769941.8,2188.4941762,0.3506759525,0.0446670019
2006,15980,"Cape Coral-Fort Myers, FL",20-24,190,21524,1455927.2,1206.6180837,0.0560591936,1455927.2,1984.8867477,246,29414,1224602.1,1106.6174136,0.0376221328,1224602.1,1820.3856453,0.7317603862,0.0500273107
2006,15980,"Cape Coral-Fort Myers, FL",25-54,1676,177764,8480587.75,2912.1448711,0.0163820845,8480587.75,4790.4783129,2109,220604,2852574.3,1688.9565714,0.007656056,2852574.3,2778.3335599,0.8058058784,0.01919796
2006,16700,"Charleston-North Charleston, SC",16-19,109,12373,1520591.95,1233.1228447,0.0996623975,1520591.95,2028.4870795,320,34709,3043832.8,1744.658362,0.0502653019,3043832.8,2869.9630054,0.3564781469,0.0504650212
2006,16700,"Charleston-North Charleston, SC",20-24,247,26586,3328921.2,1824.5331458,0.0686275914,3328921.2,3001.3570248,379,40957,3180402.6,1783.3683299,0.043542455,3180402.6,2933.6409026,0.6491198086,0.0566418524
