YEAR,Assigned_CBSA,Assigned_CBSATitle,age_recode,sample_n,UNEMP,var_n,se_n,cv_n,se2_n,moe_n,sample_d,denom,var_d,se_d,cv_d,se2_d,moe_d,UR,MOE_UR
2000,40060,"Richmond, VA",16-19,246,5214,,,,,,1339,28655,,,,,,0.1819577735,
2000,40060,"Richmond, VA",20-24,186,4111,,,,,,2053,45463,,,,,,0.0904251809,
2000,40060,"Richmond, VA",25-54,478,10267,,,,,,17480,373837,,,,,,0.0274638412,
2000,40140,"Riverside-San Bernardino-Ontario, CA",16-19,948,20261,,,,,,3967,85563,,,,,,0.2367962788,
2000,40140,"Riverside-San Bernardino-Ontario, CA",20-24,867,19011,,,,,,6649,148120,,,,,,0.1283486362,
2000,40140,"Riverside-San Bernardino-Ontario, CA",25-54,2793,60442,,,,,,44064,976336,,,,,,0.0619069665,
2000,40380,"Rochester, NY",16-19,337,5866,,,,,,1842,33181,,,,,,0.1767879208,
2000,40380,"Rochester, NY",20-24,327,5857,,,,,,2577,50631,,,,,,0.1156801169,
2000,40380,"Rochester, NY",25-54,794,14844,,,,,,19524,373550,,,,,,0.0397376523,
2000,40900,"Sacramento--Roseville--Arden-Arcade, CA",16-19,472,9738,,,,,,2447,50775,,,,,,0.1917872969,
2000,40900,"Sacramento--Roseville--Arden-Arcade, CA",20-24,387,8379,,,,,,4004,86275,,,,,,0.0971196755,
2000,40900,"Sacramento--Roseville--Arden-Arcade, CA",25-54,1476,31337,,,,,,29938,628531,,,,,,0.0498575249,
2000,41180,"St. Louis, MO-IL",16-19,685,17080,,,,,,3580,85541,,,,,,0.1996703335,
2000,41180,"St. Louis, MO-IL",20-24,541,14031,,,,,,5008,128468,,,,,,0.1092178597,
2000,41180,"St. Louis, MO-IL",25-54,1572,37973,,,,,,38106,932518,,,,,,0.0407209298,
2000,41620,"Salt Lake City, UT",16-19,244,5852,,,,,,1621,40401,,,,,,0.1448478998,
2000,41620,"Salt Lake City, UT",20-24,159,4242,,,,,,2597,68290,,,,,,0.0621174403,
2000,41620,"Salt Lake City, UT",25-54,434,10849,,,,,,12118,307666,,,,,,0.0352622649,
