Assigned_CBSA,Assigned_CBSATitle,age_recode, sample_tot ,dy_total,var_tot,se_tot,cv_tot,se2_tot,moe_tot,sample_fb,dy_fb,var_fb,se_fb,cv_fb,se2_fb,moe_fb,sample_nb,dy_nb,var_nb,se_nb,cv_nb,se2_nb,moe_nb,S_FB,S_NB,MOE_Sfb,MOE_Snb
25420,"Harrisburg-Carlisle, PA",16-19, 27 ,1141.63671,69734.98303,264.07382,0.23131,69734.98303,434.40144,,,,,,,,24.00000,1008.87942,66450.88736,257.78070,0.25551,66450.88736,424.04925,,0.88371,,0.15779
25420,"Harrisburg-Carlisle, PA",20-24, 60 ,2650.84655,169732.85798,411.98648,0.15542,169732.85798,677.71776,5.00000,125.06918,14866.18759,121.92698,0.97488,14866.18759,200.56988,55.00000,2525.77737,153038.46190,391.20131,0.15488,153038.46190,643.52615,0.04718,0.95282,0.07469,0.34391
25540,"Hartford-West Hartford-East Hartford, CT",16-19, 41 ,1562.25873,103332.86472,321.45430,0.20576,103332.86472,528.79232,6.00000,219.20411,9211.34253,95.97574,0.43784,9211.34253,157.88009,35.00000,1343.05462,95877.24281,309.64051,0.23055,95877.24281,509.35863,0.14031,0.85969,0.08920,0.14707
25540,"Hartford-West Hartford-East Hartford, CT",20-24, 131 ,6134.68968,386928.31725,622.03562,0.10140,386928.31725,1023.24860,15.00000,840.19429,85025.18995,291.59079,0.34705,85025.18995,479.66685,116.00000,5294.49539,351172.99143,592.59851,0.11193,351172.99143,974.82455,0.13696,0.86304,0.07478,0.06729
26420,"Houston-The Woodlands-Sugar Land, TX",16-19, 357 ,17394.15234,1241034.80910,1114.01742,0.06405,1241034.80910,1832.55865,74.00000,4111.20309,300187.87592,547.89404,0.13327,300187.87592,901.28569,283.00000,13282.94925,906905.61383,952.31592,0.07169,906905.61383,1566.55969,0.23636,0.76364,0.04544,0.04048
26420,"Houston-The Woodlands-Sugar Land, TX",20-24, 850 ,45824.63686,3261666.13610,1806.00834,0.03941,3261666.13610,2970.88372,224.00000,11600.76655,738461.99486,859.33811,0.07408,738461.99486,1413.61120,626.00000,34223.87031,2504063.00940,1582.42314,0.04624,2504063.00940,2603.08607,0.25316,0.74684,0.02612,0.02971
26900,"Indianapolis-Carmel-Anderson, IN",16-19, 87 ,3994.20889,309306.18317,556.15302,0.13924,309306.18317,914.87172,5.00000,312.54116,12189.87330,110.40776,0.35326,12189.87330,181.62076,82.00000,3681.66773,290595.76724,539.06935,0.14642,290595.76724,886.76909,0.07825,0.92175,0.04179,0.06867
26900,"Indianapolis-Carmel-Anderson, IN",20-24, 283 ,13007.23078,861924.29876,928.39878,0.07138,861924.29876,1527.21600,15.00000,1130.34054,97608.82883,312.42412,0.27640,97608.82883,513.93767,268.00000,11876.89024,892573.81958,944.76125,0.07955,892573.81958,1554.13226,0.08690,0.91310,0.03817,0.05275
27140,"Jackson, MS",16-19, 71 ,3038.45567,167104.55838,408.78424,0.13454,167104.55838,672.45008,,,,,,,,70.00000,2996.32921,164889.06942,406.06535,0.13552,164889.06942,667.97750,,0.98614,,0.02645
27140,"Jackson, MS",20-24, 126 ,4999.59698,295175.09264,543.30019,0.10867,295175.09264,893.72881,,,,,,,,123.00000,4820.95913,268857.92648,518.51512,0.10755,268857.92648,852.95737,,0.96427,,0.24253
27260,"Jacksonville, FL",16-19, 89 ,3812.27747,310291.78916,557.03841,0.14612,310291.78916,916.32818,,,,,,,,88.00000,3780.18926,308161.32001,555.12280,0.14685,308161.32001,913.17700,,0.99158,,0.02391
27260,"Jacksonville, FL",20-24, 247 ,11678.71911,829056.19579,910.52523,0.07796,829056.19579,1497.81400,10.00000,523.51141,48243.45498,219.64393,0.41956,48243.45498,361.31426,237.00000,11155.20770,776989.85380,881.47028,0.07902,776989.85380,1450.01861,0.04483,0.95517,0.03040,0.02021
28140,"Kansas City, MO-KS",16-19, 110 ,4481.81720,242006.38176,491.94144,0.10976,242006.38176,809.24367,10.00000,592.26527,37553.80263,193.78804,0.32720,37553.80263,318.78132,100.00000,3889.55193,215491.96006,464.21112,0.11935,215491.96006,763.62729,0.13215,0.86785,0.06701,0.06690
28140,"Kansas City, MO-KS",20-24, 246 ,11744.88744,473713.74392,688.26866,0.05860,473713.74392,1132.20194,25.00000,1154.55997,66566.35048,258.00456,0.22347,66566.35048,424.41749,221.00000,10590.32747,496475.17715,704.60995,0.06653,496475.17715,1159.08336,0.09830,0.90170,0.03487,0.04673
28940,"Knoxville, TN",16-19, 73 ,3512.38330,227964.35349,477.45613,0.13594,227964.35349,785.41533,8.00000,518.24569,31669.32188,177.95876,0.34339,31669.32188,292.74217,65.00000,2994.13761,230092.67635,479.67976,0.16021,230092.67635,789.07321,0.14755,0.85245,0.07654,0.11889
